fp_name,sv_scale,fpsim_position,surr_position,prior_adjust,pow_trans,alt_source,alt_prior,alt_prior_unc,surr_name,scene_group
CO2 VMR for Press Lvl 1,1.0e6,0,0,No,1,NA,NA,-1,CO2 VMR for Press Lvl 1 (ppm),/Gas/CO2
CO2 VMR for Press Lvl 2,1.0e6,1,1,No,1,NA,NA,-1,CO2 VMR for Press Lvl 2 (ppm),/Gas/CO2
CO2 VMR for Press Lvl 3,1.0e6,2,2,No,1,NA,NA,-1,CO2 VMR for Press Lvl 3 (ppm),/Gas/CO2
CO2 VMR for Press Lvl 4,1.0e6,3,3,No,1,NA,NA,-1,CO2 VMR for Press Lvl 4 (ppm),/Gas/CO2
CO2 VMR for Press Lvl 5,1.0e6,4,4,No,1,NA,NA,-1,CO2 VMR for Press Lvl 5 (ppm),/Gas/CO2
CO2 VMR for Press Lvl 6,1.0e6,5,5,No,1,NA,NA,-1,CO2 VMR for Press Lvl 6 (ppm),/Gas/CO2
CO2 VMR for Press Lvl 7,1.0e6,6,6,No,1,NA,NA,-1,CO2 VMR for Press Lvl 7 (ppm),/Gas/CO2
CO2 VMR for Press Lvl 8,1.0e6,7,7,No,1,NA,NA,-1,CO2 VMR for Press Lvl 8 (ppm),/Gas/CO2
CO2 VMR for Press Lvl 9,1.0e6,8,8,No,1,NA,NA,-1,CO2 VMR for Press Lvl 9 (ppm),/Gas/CO2
CO2 VMR for Press Lvl 10,1.0e6,9,9,No,1,NA,NA,-1,CO2 VMR for Press Lvl 10 (ppm),/Gas/CO2
CO2 VMR for Press Lvl 11,1.0e6,10,10,No,1,NA,NA,-1,CO2 VMR for Press Lvl 11 (ppm),/Gas/CO2
CO2 VMR for Press Lvl 12,1.0e6,11,11,No,1,NA,NA,-1,CO2 VMR for Press Lvl 12 (ppm),/Gas/CO2
CO2 VMR for Press Lvl 13,1.0e6,12,12,No,1,NA,NA,-1,CO2 VMR for Press Lvl 13 (ppm),/Gas/CO2
CO2 VMR for Press Lvl 14,1.0e6,13,13,No,1,NA,NA,-1,CO2 VMR for Press Lvl 14 (ppm),/Gas/CO2
CO2 VMR for Press Lvl 15,1.0e6,14,14,No,1,NA,NA,-1,CO2 VMR for Press Lvl 15 (ppm),/Gas/CO2
CO2 VMR for Press Lvl 16,1.0e6,15,15,No,1,NA,NA,-1,CO2 VMR for Press Lvl 16 (ppm),/Gas/CO2
CO2 VMR for Press Lvl 17,1.0e6,16,16,No,1,NA,NA,-1,CO2 VMR for Press Lvl 17 (ppm),/Gas/CO2
CO2 VMR for Press Lvl 18,1.0e6,17,17,No,1,NA,NA,-1,CO2 VMR for Press Lvl 18 (ppm),/Gas/CO2
CO2 VMR for Press Lvl 19,1.0e6,18,18,No,1,NA,NA,-1,CO2 VMR for Press Lvl 19 (ppm),/Gas/CO2
